pu_month,pu_day,pu_year,pu_time,do_month,do_day,do_year,do_time,htp_am,htp_pm,trip_period,passenger_count,trip_distance,pu_loc_id,pu_taxi_zone,do_loc_id,do_taxi_zone,payment_type_readable,total_cost
01,01,2017,00:45,01,01,2017,01:13,0,0,Late Night,1,4.3,79,East Village,262,Yorkville East,Credit card,27.0
01,01,2017,00:18,01,01,2017,00:24,0,0,Late Night,1,0.5,114,Greenwich Village South,113,Greenwich Village North,Credit card,7.3
01,01,2017,00:26,01,01,2017,00:43,0,0,Late Night,1,1.6,113,Greenwich Village North,137,Kips Bay,Credit card,15.35
01,01,2017,00:58,01,01,2017,01:05,0,0,Late Night,1,0.7,234,Union Sq,79,East Village,Cash,7.8
01,01,2017,00:06,01,01,2017,00:28,0,0,Late Night,1,2.2,158,Meatpacking/West Village West,48,Clinton East,Cash,15.8
01,01,2017,00:55,01,01,2017,01:07,0,0,Late Night,1,1.1,246,West Chelsea/Hudson Yards,48,Clinton East,Cash,10.3
01,01,2017,00:35,01,01,2017,00:53,0,0,Late Night,2,2.3,107,Gramercy,163,Midtown North,Credit card,16.8
01,01,2017,00:58,01,01,2017,01:04,0,0,Late Night,3,0.4,161,Midtown Center,162,Midtown East,Cash,6.3
01,01,2017,00:18,01,01,2017,00:50,0,0,Late Night,4,10.8,79,East Village,244,Washington Heights South,Credit card,41.3
01,01,2017,00:58,01,01,2017,01:03,0,0,Late Night,3,0.9,244,Washington Heights South,116,Hamilton Heights,Cash,6.8
01,01,2017,00:10,01,01,2017,00:23,0,0,Late Night,4,1.14,163,Midtown North,162,Midtown East,Credit card,10.3
01,01,2017,00:33,01,01,2017,00:41,0,0,Late Night,4,2.21,233,UN/Turtle Bay South,262,Yorkville East,Credit card,10.8
01,01,2017,00:42,01,01,2017,00:47,0,0,Late Night,4,0.83,262,Yorkville East,236,Upper East Side North,Cash,6.8
01,01,2017,00:54,01,01,2017,01:17,0,0,Late Night,3,3.26,263,Yorkville West,164,Midtown South,Credit card,20.16
01,01,2017,00:35,01,01,2017,01:03,0,0,Late Night,1,2.25,48,Clinton East,186,Penn Station/Madison Sq West,Credit card,18.8
01,01,2017,00:26,01,01,2017,00:58,0,0,Late Night,1,3.0,161,Midtown Center,143,Lincoln Square West,Credit card,24.8
01,01,2017,00:23,01,01,2017,00:49,0,0,Late Night,1,2.72,48,Clinton East,249,West Village,Credit card,17.8
01,01,2017,00:58,01,01,2017,01:05,0,0,Late Night,1,1.21,170,Murray Hill,234,Union Sq,Credit card,8.8
01,01,2017,00:35,01,01,2017,00:51,0,0,Late Night,1,4.0,79,East Village,141,Lenox Hill West,Credit card,17.38
01,01,2017,00:54,01,01,2017,01:01,0,0,Late Night,1,2.0,141,Lenox Hill West,229,Sutton Place/Turtle Bay North,Credit card,11.75
01,01,2017,00:28,01,01,2017,00:49,0,0,Late Night,2,4.99,141,Lenox Hill West,113,Greenwich Village North,Credit card,21.8
01,01,2017,00:51,01,01,2017,01:21,0,0,Late Night,1,3.72,113,Greenwich Village North,142,Lincoln Square East,Cash,20.3
01,01,2017,00:14,01,01,2017,00:18,0,0,Late Night,2,0.5,148,Lower East Side,148,Lower East Side,Cash,5.8
01,01,2017,00:26,01,01,2017,00:36,0,0,Late Night,2,1.2,79,East Village,211,SoHo,Credit card,11.05
01,01,2017,00:38,01,01,2017,00:54,0,0,Late Night,2,2.1,211,SoHo,164,Midtown South,Credit card,15.0
01,01,2017,00:56,01,01,2017,01:32,0,0,Late Night,1,4.4,164,Midtown South,236,Upper East Side North,Credit card,29.76
